id,lat,lon,z
060800-99999,55.526,8.553,29.6
060810-99999,55.55,8.083,18
060890-99999,55.5,8.4,11
060960-99999,55.183,8.567,9
061000-99999,55.7,9.2,73
061040-99999,55.74,9.152,75.3
061080-99999,55.436,9.331,43.6
061100-99999,55.226,9.264,43
061180-99999,54.964,9.792,7.3
061190-99999,54.85,9.983,19
061200-99999,55.477,10.331,17.1
061230-99999,55.25,9.883,3
061240-99999,55.017,10.567,6
061360-99999,55.25,11.333,12
061380-99999,54.817,11,4
061410-99999,54.833,11.333,9
061430-99999,54.699,11.44,4.9
061470-99999,54.883,12.183,3
061490-99999,54.567,11.95,5
061500-99999,55.083,11.783,4
061510-99999,55.167,11.133,3
061560-99999,55.733,11.6,13
061590-99999,55.75,10.867,15
061600-99999,55.767,12.343,18
061680-99999,56.117,12.35,43
061690-99999,56.017,11.283,12
061700-99999,55.586,12.131,44.5
061740-99999,55.4,12.15,22
061790-99999,54.95,12.533,17
061800-99999,55.618,12.656,5.2
061810-99999,55.767,12.533,42
061830-99999,55.533,12.717,6
061900-99999,55.063,14.76,15.8
061910-99999,55.317,15.183,15
061930-99999,55.3,14.767,9
061990-99999,55,15.083,6
062000-99999,52.033,4.35,1
062100-99999,52.167,4.433,1
062250-99999,52.467,4.567,4
062290-99999,53,4.717,0
062350-99999,52.923,4.781,0.9
062390-99999,54.85,4.733,0
062400-99999,52.309,4.764,-3.4
062420-99999,53.25,4.917,5
062480-99999,52.633,5.167,4
062490-99999,52.65,4.983,-3
062500-99999,53.367,5.217,27
062510-99999,53.4,5.35,2
062520-99999,53.217,3.217,30
062570-99999,52.5,4.6,10
062600-99999,52.1,5.183,4
